id	language	text	task1
1	en	Today in the morning they wanted to lift me to a car and as I said they did not yell at me feminazi they are any	1
2	en	funesmemoriosa Leaobutron What happens is that you are a feminazi babyphobic traumatized by that all time offensive	1
3	en	Last night at the bowling alley two guys threw a box and it fell on my head when I told them they were idiots they responded with Get out of here feminazi motherfucker It is assumed that the fault was mine for calling them idiots and not theirs for BEING IMB    CILES or that	1
4	en	tjcope and the fool goes and asks for the press to scrub Or better to do porn	1
5	en	Dont tell me your life little girl	0
6	en	cucumber Patrialtamira minutounocom Im from Santa Fe Capital I live in CABA  Does that change anything Its crazy that you say that most think like a woman who answers I dont know what do I know it is not like that	0
7	en	I feel like a little girl when they go to pick her up to take her to the park Ha ha	0
8	en	MarkSyers PacoDelMazo Its not being prudish dont be an asshole I have a black and acid humor but that does not imply that I have the mentality study him a little Mommy and you will know everything that had to happen so that you can go out very fresh and natural to the street and vote	0
9	en	A lot of feminism but every time you can you give me a shitty comment about my body I have a mirror in my house I see the defects every day	0
10	en	Hello There are women who like soccer and we are informed about the teams and players it is the biggest stupidity I have read in my life a lot of feminism but here it is leaving us as fools who have no idea   t co  MiBIlTRTB	0
11	en	a lot of feminism but when you find out that your friend is being cheated on you prefer not to tell her because it is not      your business	1
12	en	Woman at the wheel constant rush	1
13	en	Excuse me for sounding macho but its not that way today I saw that a woman at the wheel gives you a public transport truck that gives a better look to the route than we do LosH HombresToreto  more women at the wheel of transport	0
14	en	I liked a video on YouTube  MY WOMAN AT THE WHEEL ON A CIRCUIT  Dani Clos	0
15	en	Fuck your silvir lis dis vidis speech when later with your light blue handkerchief full of hatred for fighting women you do these things	0
16	en	culesrules What a nenaza voice that has come out right  fUFUUfUFUU f U  F U    U   f U  F U   U	1
17	en	Herlinda Well they dont give me but I go to the kitchen and eat whatever Hahahaha Ly U   U  FEF	0
18	en	Well the PRINacional seems to be going back to scouring the country	0
19	en	And the winner is  the Blondie Parakeet Girl fUFUAUAE f U  F U  A U  AE  MasterChef	0
20	en	mujerlunabella Lunita dont let them finger you on your days off	0
21	en	You are worse off than me  You should take rest      Anyway he allowed the adult to guide him to the bed where they both sat Peter and I  Well I broke up with him She had a strange demeanor and well she started calling me a bitch and so on You know me and you know you dont	1
22	en	Your girlfriend is treated like a princess respected like a lady spoiled like a girl and loved like a woman	0
23	en	I feel that this democracy is like a woman with a wonderbra it looks very good but they are hiding something from us	1
24	en	I see her as psychopathic as the crazy baby Dont you	0
25	en	PM Gon Do we go to the same gym together   PM Cande Me re paints  eu   PM Gon We leave the gym and go to junior for a submarine or to Betos for a tenderloin How do I become a fitness girl if they propose to me things like that	0
26	en	Do not say that someone is a bad influence everyone will see what they do what matters is that that person feels good for now you stop being prudish and act as you please	0
27	en	ElMundoEspana Woman at the wheel	1
28	en	In your own words women should not contract prostitution as they dont need it like a man I inform you in addition that more than  of male prostitution is consumed by gay MEN	1
29	en	UnaBooom I dont think so Im not a babe f U  F U   U	1
30	en	Tefa misiameiftowers Leave you the face of one my lizard and elitist aunt	0
31	en	I live in fear of giving up my place in the truck to a woman and that she is a feminazi Xkk daz me thu place k kreez k I cant go stop o khe serdo machizta	1
32	en	thecliniccl Irresponsible  for showing a female from Punta Arenas employed by Boric  the left is always victimized	1
33	en	but lets see being a feminist is not hating men or harassing them Just because a large group in your community does it does not mean that this is feminism represents gender equality and defending harassed women the feminazi movement harasses what the movement wants to do	1
34	en	One of my housemates is from England I just went to the kitchen he sees me and says      Did you see the results       And I say      yes congratulations     Normaaaal	0
35	en	missbexana FanficsSq And I say girl not in the sense of adolescent that they may be but there are also older people who are equally immature	0
36	en	It seems perfect to me that they condemn Nahir I would like them to apply the same  LOOK AT THE FEMINISTS DEFENDING A MURDERER LOOK  But I want to say that there are millions of femicides  WHAT ARE YOU GOING TO SAY THAT YOU DONT DESERVE TO GO CRAZY PREY OF SHIT  But stop loc  NOBODY LESS	1
37	en	And on your bad days Im going to love you even more	0
38	en	Being in your days and in rainy times should be rest to work yu	0
39	en	I have a thousand friends in one I love you bitch of my	0
40	en	In Catalonia they put the fox to take care of the chickens	0
41	en	camisosa Zorra hahaha I love you	0
42	en	My chest is going to explode with pride A few months ago I was running to hug him like a little girl when his idol came to visit the academy Now she composes songs with him	0
43	en	Are you going to be dressed like that But you look like a whore Apart from the terrible machirulo sorete as a friend	1
44	en	Well yes you sure are funny and you really seem like a fucking goddess Very crushh  enough of sucking our dicks	0
45	en	and I still have friends who when you bring up sex topics they look at you as if you were a crazy nympho with the pussy I ALREADY FUCKED ME	0
46	en	MashiRafael Right now you are falling crazy from the attic Not even sending messages every  minutes will save you Pudrete	0
47	en	As the crazy cat is already caught  it will become the crazy person	0
48	en	vanesavallejo These hormones are responsible for producing male and female secondary characters so with hormonal treatment and sex reassignment surgery biologically speaking it would be enough to be a woman	0
49	en	I do not need a script to be a woman and even less for a macho being I am a woman fighting for my rights and making myself respect	0
50	en	Even to be a woman a man is better are	1
51	en	adnradiochile MissUniversoOrg Transsexual because to be a woman it is not enough to just look like it Its much deeper than that	0
52	en	You handle very well to be a woman      GRAXX it actually made my day	1
53	en	geneegm Loca I mean prudish its not my problem how you interpret it	0
54	en	LADY CAUSES ACCIDENT Police Campeche A woman at the wheel was involved in a spectacular accident on the av L pez Portillo after trying to enter a commercial premises he closed traffic to a motorcyclist who could do little to avoid the strong collision	0
55	en	Women must be told that they are pretty precious Not that they are good they are women not food	0
56	en	Then I got carried away for the moment and mmgvo the cheek turned purple jasjajs well after that I learned that women have to be treated like bitches in bed but never forget to treat them like princesses on the street	1
57	en	OroroPride seingantistenes CatEspartaco PabloRiol  Christi catmyrfree  CebaCega cositasmartinez  Azaras DanVader graellsalbert IVGodofredo  jjca  Sargantania crmontoro ploumerda  stelledimare Aurantiacum FreeyellowMarta  martinalliue massaborrega santsfree  jlinares joanbarrisrosi  populacho TangutSatue  Alexspain  charlypv PeioBasque ultrasRoures Carmatpor silviayucca commonscouncil Berlustinho  Republica Morafanova manuvilladangos IndosIgnacio  Donpinpon Xerxiodpo inmaben Avelimelis ElCortijoUE homopolitik GloriaFontLopez  juangimeno Aiknati lgoritme ItzalArgia lovenjaire Those of us who take naps is because we are smarter I would like to see the babe K working at	1
58	en	Romimenz marianoobarrio Hahaha nobody wants unbalanced females she wants them to keep her inconsistency level feminazi	1
59	en	But no one reinforces femigolpista and feminazi violence against the most vulnerable and unprotected men EleccionesYa SanchezDimision golpeDEstadoYa	1
60	en	IronQueen How absurd I remind you of what happened I made a comment supporting a person you sent me to the kitchen for being a woman and you called me submissive I explained that being a woman does not imply being a housewife or an extreme feminist like others If you are happy I am glad I do not judge and harm free like you	1
61	en	Im going to go to the kitchen to try to get my coffee machine working wish me luck	0
62	en	Dont come to scrub my life with the news that Diego Boneta and Camila Sodi are in real life	0
63	en	FranUgalde Yes but not to meet goals you are going to scrub innocent people And so there are many cases As everywhere there are people who do their job well while there are others who are corrupt and moreover in important positions	0
64	en	Hahaha she wants to do the feminine and tall tomboy hahaha poor thing my love not even trying to be delicate comes out hahahahahaha	0
65	en	In your days in your stomach only a tea it is  pm to continue at work stress to a thousand  What more can I ask for	0
66	en	There are still kids who make the association of bad mood sadness anger  being in your days Look my ovaries have nothing to do with what happens is that you are a HAIRY	1
67	en	msleslievllgs Thats how you are on your normal days	0
68	en	LaidirSaighdear    But better than to be considered a weak woman or one of those who cry in the corners     He said now with more force in his voice showing some anger in his words both for the womans canon and for what they had done to her It wasnt like that before Have you	0
69	en	How a yearold woman was reunited with her daughter  years after giving her up for adoption	0
70	en	LostSoul According to psychosis no the protagonist is treated as a transformist when they meet that he speaks acts and feels like a woman in this case his mother but his was a double personality but that is my doubt	0
71	en	How can such a beautiful woman have such low selfesteem	0
72	en	SoyListorti you seem like a jilted bitch talking about pampitaoficial why dont you polish her  there is no other topic to talk about	0
73	en	Prudish shit	0
74	en	All drivers are advised to exercise caution  there is a woman behind the wheel anywhere in the world	1
75	en	Women must be made to feel special not made jealous Fag boy	0
76	en	I hate women who show their breasts to grow on the internet one of them is windygirk	1
77	en	Elenitavip That is correct and more women today who are professionals Executives housewives mom in short all in one and they still have time they are definitely superior but those few with their extreme do not know	0
78	en	What about women today Where did so much pride come from	1
79	en	luciferentweet MorenoEVir Barbijaputa I have been back very much and I know what I am talking about I inform myself from objectivity not from the  feminist  bias or its false false statistics Maybe your friend the subsidized progrezombie feminazi gave you the data from her misandric pussy But I DONT BELIEVE IT because IT LIES	1
80	en	I think I bring love to the kitchen like my mother	0
81	en	We are fighting we will not go back to the kitchen	0
82	en	espeviruzz  and they still insult saying tomboy	0
83	en	I am a girl	0
84	en	I can imagine that      Hey Madara eat my pussy      Yes and lick your ear it doesnt screw you Degenerate whore You had to be a woman	1
85	en	grunppy  Klavdiaperez  Espaiderman Justicierodenos Maybe when inclusive language becomes official it could become readable for feminists  Paradoxical dont you think	1
86	en	This is the queen of feminists for real or not MaryanaVeesc	0
87	en	Although the body does not change that you see me as a girl	0
88	en	My mother put SODA IN THE MILK this woman is crazier than the crazy one with the baby	0
89	en	Dear friend stopping to think is not defending anyone it is simply making a reflection and I think we should all do it   only Nazis and dictators hate those who reflect You can tell that a lot of manifest a lot of feminism but thinking for yourself quite a bit ciao	0
90	en	Women should not wear makeup they are beautiful just because they exist	0
91	en	mariarodd Auntie said things like is that the women of today are very loose and are stalkers you are now prepared with everyone and they go to the men telling them we are going to spend a while that I do not even charge you and they the poor if they have a partner have to go prepared not to fall	1
92	en	ElCochonDgo gobdgo AispuroDurango  ScorpionDorad  comptroller elmancesar Acrewdgo GrinchDgo  Gutierritosdgo ElFollonDgo  lr RandyDelux I wish it was true he walks in the bay of Mazatleca and LEAVES A TIB	0
93	en	lunagalla Ah that is not worth it that I am not a female shit	0
94	en	jhoifer DarckRose Ok I feel like eating now so I go to the kitchen  I get up  I dont know about you eric What did you do inside	0
95	en	In Ensenada it is  am and I was sleeping peacefully when my sister began to scrub with that the game of France               in SLP where it is already  oclock	0
96	en	vkobernyk UnaBooom TONTITO FeelsBeef  lencima puts everything worthy saying that it is a lie and that the fault of everything is brujitabaneada for snitching about him Anyway qa scrub Then in his tw he puts sentences criticizing relationships with jealousy x FeelsBeef and he told me that he does not let his wife do not let him have RRSS	0
97	en	They will suspend you again and no attacks on amlo they will scrub you	0
98	en	My brother explaining to my mother about inclusive language  Feminists want to use us because they say that we are sexist My mother Naaa to that point the assholes get Great	1
99	en	AldoDuqueSantos GiovyMon Stop looking for don AldoDuqueSantos Feminists are not happy about the achievements of their peers if that were the case they would stop being feminists	1
