	text	Task1
0	Easyjet quiere duplicar el n mero de mujeres piloto Ver s t  para aparcar el avi n 	sexist
2	Yo veo a mujeres destruidas por acoso laboral y callejero Otras con depresi n debido a violaci n sexual o maltrato f sico Y conoc  a varias que se suicidaron por este tipo de comportamientos machistas Vas a seguir con tu show pobre 	non-sexist
3	  Yo soy respetuoso con los dem s s lamente les recuerdo lo que son Y si son escoria no es culpa m a     Claro que lo s   Por qui n me tomas	non-sexist
4	Antonio Caballero y como ser de mal gusto e ignorante a la vez Claro que no es lo mismo acoso sexual y violaci n pero hay varias conductas que componen la violencia sexual	non-sexist
5	  Cu nto hijo de puta sobra en el mundo	non-sexist
7	vos me haces eso te pego una patada en la cara 	non-sexist
8	  Detienen en Guatapanal motocicleta y nacional haitiano indocumentado 	non-sexist
9	  Llora te lomereces por zorra	sexist
10	Padres indocumentados realizaron una huelga de hambre para pedir ser liberados  	non-sexist
12	A Tomi Alegre JAKSKKSJSJ   C llate q tdv estoy de duelo puta 	non-sexist
13	    Callate gallina puta y cntala cmo quieras Bolso culo facil Jajajaaj hijooo	sexist
14	Albondigas Casi al estilo de las fodongas pero en el Gabacho	non-sexist
15	Todos   PPK presidente de lujo Per  no va al mundial  J  ilusos	non-sexist
16	El juez cita a declarar a la menor que denunci  abusos por parte de jugadores de la    	non-sexist
17	VAMOOOO LA PUTA MADRE SE LO MEREC A TANTO ESFUERZO Y HABER PASADO TANTOS TEL FONOS NECESIT BAMOS ESTE DESCANSO   EnMisPlanesMica	non-sexist
18	Pd a ver si cierran de una puta vez Tv que no s  todav a qu  servicio p blico ofrece para que merezca dinero de nuestros impuestos o solo hace da o que roben unos	non-sexist
20	Mira de vd estoy hasta la polla ya no aguanto m s tonter as	non-sexist
22	    Diappoler jajaja c llate Pepe ni o polla Si me han llenado de notificaci nes jajajajaja	non-sexist
23	 Mojigatas moralinas  Neta  Por estar en contra del acoso sexual y la violaci n en el trabajo	non-sexist
24	Si cualquier cosa es violaci n o acoso se minimizan la violaci n y el acoso Por lo tanto pierden las v ctimas de las mierdas que se dedican a violar yo acosar	non-sexist
