	dataset	language	source	text	task1
0	SCB_ES	es	Twitter	text	non-sexist
1	SCB_ES	es	Twitter	@PlasticoTieso @LuRiojas Nos vale mucha verga hija de tu puta madre que seas lo que seas, pinche feminazi de mierda.	non-sexist
2	SCB_ES	es	Twitter	"RT @veronicagmiceli: #RuthOlveraporencimadelaley
@alfredodelmazo 
En Atizap?n se viola la ley 

https://t.co/7Uqs3QjZjG
@delfinagomeza  @Ir?"	non-sexist
3	SCB_ES	es	Twitter	@M_OlgaSCordero @SEGOB_mx @LuisCardenasMx @Mx_Diputados @SCJN @LuRiojas Necesitamos tener una migraci?n regulada y? https://t.co/V8h0azl4lL	sexist
4	SCB_ES	es	Twitter	"RT @quebecq: @adrifadi @lopezobrador_ @HectorAstudillo C.c.p. @M_OlgaSCordero @SSPCMexico @emoctezumab @SEP_mx @tatclouthier

Se?oras y Se?"	non-sexist
5	SCB_ES	es	Twitter	@cuesta_aranda @ArturoZaldivarL Ya, ya calma dere??. A?n faltan 5 largos y gloriosos a?os de Gobierno de? https://t.co/M57qLtXnEp	sexist
6	SCB_ES	es	Twitter	RT @yeidckol: Querido @m_ebrard, deseo que encuentres pronta resignaci?n ante la irreparable p?rdida de tu se?or padre, te env?o un fuerte?	non-sexist
7	SCB_ES	es	Twitter	@m_ebrard Y tambien eres femenino	non-sexist
8	SCB_ES	es	Twitter	Los funcionarios p?blicos tienen obligaciones legales y dejar libre a un delincuente es ilegal pide la renuncia y e? https://t.co/KZz40E452l	sexist
9	SCB_ES	es	Twitter	@SEDENAmx, @Luis_C_Sandoval @lopezobrador_ Cobardes Gallinas. Ustedes van a pasar a la historia por esto y veanlo v? https://t.co/39Pm0yINyD	sexist
10	SCB_ES	es	Twitter	RT @jorgeramosnews: Cuba es una brutal dictadura. Son m?s de 60 a?os sin democracia, sin elecciones multipartidistas, con ferrea censura y?	non-sexist
11	SCB_ES	es	Twitter	@LuRiojas Jajaja ustedes bien preocupadas y ella con el patriarcado hasta el fondo	non-sexist
12	SCB_ES	es	Twitter	RT @ElFinanciero_Mx: #Opini?n @PabloHiriart destaca la falta de oficio del equipo que debi? responder por el operativo fallido en Culiac?n,?	non-sexist
13	SCB_ES	es	Twitter	RT @elchairomen: Pregunta para la panista infiltrada en @PartidoMorenaMx SI los vecinos NO QUIEREN EL PUENTE ?Por que mandas a la @PoliciaA?	non-sexist
14	SCB_ES	es	Twitter	RT @LuisCastilloMX: Sirva este medio para hacerle llegar nuestros mejores deseos al Canciller, @m_ebrard, con motivo de su Cumplea?os.. Muc?	non-sexist
15	SCB_ES	es	Twitter	RT @ygnacio01: Por un lado y por otro @m_ebrard rectifica y por el otro @FelipeCalderon se queda mudo , ?que opinan amig@s? ?Moral o instin?	non-sexist
16	SCB_ES	es	Twitter	A ver chairos que pedo con estos, a estos les van a decir que pus sus mamas y que fuchi y que w?cala. O que es culp? https://t.co/T3hHCNmegM	sexist
17	SCB_ES	es	Twitter	@m_ebrard Q mal mi estimado ok !! Mucha suerte ok ! Marcelo24-30 !!	non-sexist
18	SCB_ES	es	Twitter	@FelipeCalderon @m_ebrard Quisiera yo darle las condolencias a @Mzavalagc pero la vida es injusta.	non-sexist
19	SCB_ES	es	Twitter	RT @elchairomen: Pregunta para la panista infiltrada en @PartidoMorenaMx SI los vecinos NO QUIEREN EL PUENTE ?Por que mandas a la @PoliciaA?	non-sexist
20	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Fue un gusto recibir al gran actor y comediante @HectorSuarezTV quien se ha destacado por trabajar en teatro, cine y te?	non-sexist
21	SCB_ES	es	Twitter	"@Noticaribe Puro maldito vividor protegido x el RATERO y asesino @CarlosJoaquin !!

@ArturoZaldivarL? https://t.co/Q8J4UxfYli"	sexist
22	SCB_ES	es	Twitter	RT @fmonterrosa: Van 2 africanos ahogados al volcarse lancha en Puerto Arista, Chiapas. Huyeron de su pa?s buscando sue?o americano. Qui?ne?	non-sexist
23	SCB_ES	es	Twitter	RT @ChumelTorres: ?Ya estuvo bueno no, @lopezobrador_ @M_OlgaSCordero?	non-sexist
24	SCB_ES	es	Twitter	RT @arnemx: #CuentasChairas @M_OlgaSCordero. Ni una maldita tabla de Excel pueden hacer. https://t.co/aZIL3MLdrs	non-sexist
25	SCB_ES	es	Twitter	RT @OMNIANOTICIAS: #ESTADO Piden a gobierno de @lopezobrador_ revisar el aporte de Chihuahua a tratados de agua https://t.co/WiUQureKID @co?	non-sexist
26	SCB_ES	es	Twitter	"RT @MomentsES: ?? La diputada @LuRiojas le record? a @M_OlgaSCordero la propuesta respecto a la legalizaci?n de la marihuana 
https://t.co/?"	non-sexist
27	SCB_ES	es	Twitter	@MarinoLoko9 @ElTop0 @GlodeJo07 Mejor platicanos que grupos delictivos son los que @M_OlgaSCordero habla?	non-sexist
28	SCB_ES	es	Twitter	"Con la misma frase de los a?os anteriores: ""?Cu?ntas m?s... Cuitlahuac?"". @CuitlahuacGJ @FGE_Veracruz @SP_Veracruz? https://t.co/WL3qdhAdwG"	sexist
29	SCB_ES	es	Twitter	RT @JulianVenturaV: ?M?xico advierte en la ONU que medidas coercitivas contra migrantes fracasar?n?: @m_ebrard en #UNGA ??https://t.co/L7xCJ?	non-sexist
30	SCB_ES	es	Twitter	RT @econokafka: Pejistas, ?se imaginan a un embajador de Fox, Calder?n o Pe?a con gorra del PAN o PRI? https://t.co/rBE1zKvduS	non-sexist
31	SCB_ES	es	Twitter	@M_OlgaSCordero @m_ebrard Oiga do?a olga yo le evie correo y no los a le?do necesito qe los lea por favor o si pudiera cheqearlo	non-sexist
32	SCB_ES	es	Twitter	"RT @julenrementeria: Hoy la Secretaria @M_OlgaSCordero nos llama a todos al respaldar al presidente.

Secretaria:
Mi respaldo es incondicio?"	non-sexist
33	SCB_ES	es	Twitter	@OpinionLSR @RicardoAlemanMx @SEGOB_mx @M_OlgaSCordero Pero a Olga le gustan las relaciones p?blicas	non-sexist
34	SCB_ES	es	Twitter	"RT @MElenaPerezJaen: Este v?deo es vergonzoso para ????
Buen trabajo @avieu ?? https://t.co/D7v5fAXd73"	non-sexist
35	SCB_ES	es	Twitter	@CarlosLealMx @m_ebrard @EVerastegui @Joletteoficial @LillyTellez @AgustinLaje @sasildeleon @CarlRamirezA? https://t.co/o05C3NZ89p	sexist
36	SCB_ES	es	Twitter	RT @DoliaEstevez: ??@Efren_Leyva borr? de Twitter toda referencia a su militancia PRI y amor por EPN. Estos ?? tuits ya no est?n. R?dicula?	non-sexist
37	SCB_ES	es	Twitter	@m_ebrard Hagan bien su trabajo y el respaldo llegar? por a?adidura ... hasta ahora un mugrero	non-sexist
38	SCB_ES	es	Twitter	RT @CarmenAColeman: @luasaroma @TheDuran_com @lopezobrador_ @m_ebrard @JLMelenchon @marvinicio @micheluv @hectorsmx @4t_Vlman @Nhenneq @Ger?	non-sexist
39	SCB_ES	es	Twitter	"RT @ElSoberano_mx: #?ltimaHora ??

Dos de las v?ctimas mortales del tiroteo en Kansas eran mexicanas, indica el canciller @m_ebrard.

El ata?"	non-sexist
40	SCB_ES	es	Twitter	@M_OlgaSCordero @lopezobrador_ Si pensaran en la vida de las personas ya estar?an presentando su renuncia y no segu? https://t.co/0qA4L13JIq	sexist
41	SCB_ES	es	Twitter	@jose_anton @m_ebrard sin duda.	non-sexist
42	SCB_ES	es	Twitter	@CapetilloJosue @m_ebrard @jorgereynosoh @josejoeloficial @JoseJoseOficial @PalacioOficial @jaimecamil? https://t.co/G50PdrZHk8	sexist
43	SCB_ES	es	Twitter	@Noti_Beka @m_ebrard Noticias pedorras! Debe estar s?per genial tu canal...	non-sexist
