id;text;HS;TR;AG
20001;Easyjet quiere duplicar el número de mujeres piloto' Verás tú para aparcar el avión.. http://t.co/46NuLkm09x;1;0;0
20002;El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por q después del 20-8querrán venir en masa;1;0;0
20003;Yo veo a mujeres destruidas por acoso laboral y callejero. Otras con depresión debido a violación sexual o maltrato físico. Y conocí a varias que se suicidaron por este tipo de comportamientos machistas. Vas a seguir con tu show pobre? https://t.co/JE6MEgvIh4;0;0;0
20004;— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?;0;0;0
20007;Antonio Caballero y como ser de mal gusto e ignorante a la vez. Claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.;0;0;0
20008;@Zurine3 Cuánto hijo de puta sobra en el mundo...;0;0;0
20009;Pablo Casado debería estudiar un máster en inmigración https://t.co/Pcz6GPJ6dG;0;0;0
20010;vos me haces eso te pego una patada en la cara https://t.co/2drqUu5Rwc;0;0;0
20012;#Noticiasdelalinea: Detienen en Guatapanal motocicleta y nacional haitiano indocumentado https://t.co/qs9MTKddqK;0;0;0
20013;@MaivePerez Llora te lo.mereces por zorra;1;1;1
20014;Padres indocumentados realizaron una huelga de hambre para pedir ser liberados https://t.co/ZPuBt8kUrK https://t.co/zRentrV0Kq;0;0;0
20015;No sé porque hay personas que piensan que todos los inmigrantes son delincuentes;0;0;0
20016;A Tomi Alegre JAKSKKSJSJ — Cállate q tdv estoy de duelo puta https://t.co/ilHP09OzCK;0;0;0
20017;@mspn95 @SC_ESPN Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo;1;1;1
20018;Albondigas! Casi al estilo de las fodongas pero en el Gabacho.;0;0;0
20020;Todos: -#NoTodosLosHombres -PPK, presidente de lujo -Perú no va al mundial 2017: Já, ilusos.;0;0;0
20021;El juez cita a declarar a la menor que denunció abusos por parte de jugadores de la #Arandina https://t.co/vD92Mxs04Q https://t.co/kbTiYIpwol;0;0;0
20022;VAMOOOO LA PUTA MADRE SE LO MERECÍA TANTO ESFUERZO Y HABER PASADO TANTOS TELÉFONOS NECESITÁBAMOS ESTE DESCANSO #SoltarteNoEstáEnMisPlanesMica;0;0;0
20023;Pd a ver si cierran de una puta vez Tv3 que no sé todavía qué servicio público ofrece para que merezca dinero de nuestros impuestos o solo hace daño que roben unos?;0;0;0
20024;Yo estaba claro que esta vida de trabajador inmigrante fundido máquina iba a ser difícil. Y es verdad, es difícil jajaja;0;0;0
20025;Mira de vd estoy hasta la polla ya, no aguanto más tonterías;0;0;0
20026;@enkarny282 @irenejunquera No tienes ni puta idea.la melodia es mi novia es sevillista...una puta mas.;1;1;1
20027;@PepeGonzalezRP @EsmeSese Diappoler* jajaja cállate Pepe niño polla Si me han llenado de notificaciónes jajajajaja;0;0;0
20028;¿Mojigatas, moralinas? ¿Neta? ¿Por estar en contra del acoso sexual y la violación en el trabajo?;0;0;0
20029;Si cualquier cosa es violación o acoso, se minimizan la violación y el acoso. Por lo tanto, pierden las víctimas de las mierdas que se dedican a violar y/o acosar.;0;0;0
20030;Que divertido que consideres que una piba por estar con uno con novia es una zorra... si mal no recuerdo tambien te habias metido con uno CON novia, no hay que hacer lo que no nos gusta que nos hagan??????;0;0;0
20031;Odio los viejos que se creen que se merecen todo, hijo de puta tú lo que te mereces es una tumba.;0;0;0
20032;@elultimopeter Tu eres demasiado perra ??;1;1;1
20034;@Manu_Sainz @elchiringuito El papapapartido imimimporta... callate tartaja!!! Come polla de madeira;0;0;0
20035;@Setxuki @Daii__24 callate la puta boca gordo almagro;0;0;0
20036;Es un gran regalo???? Y una polla un regalo, aquí no le han regalado nada. Se lo ha currado muchísimo, ya vale con las tonterías #OTGala8;0;0;0
20037;me saqué un 9 en el final de biología para vos hija de puta q no me quisiste promocionar por unas centésimas EN TU CARA Y EN TU CANCHA;0;0;0
20038;@ValentinaaCruz Puteria y perico también somos almas gemelas excepto que tu eres puta desde él vientre.;1;1;1
20040;@PatonGuzman eres una verdadera cagada, puto, mierda entre la mierda, por eso a los putos argentos, sudakas miserables, se le aborrece, por escorias como mico sorete mal parido;1;0;1
20041;I added a video to a @YouTube playlist https://t.co/lWXlQnkxyQ El Güero Bastidas - Enigma Norteño (2011);0;0;0
20042;@AgusMariano17 @astrobrix @saintlean asi le digo a tu mami callate perra;1;1;1
20043;@intonarumori13 Cállate y ven ya joder hostia puta;0;0;0
20044;Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho.;1;1;0
20045;@AngeAlvarez7 Callate perra, re despierta estoy;1;1;1
20048;#esdemexicanos que te digan güero aunque seas mas negro que la noche;0;0;0
20049;Ah vaina, ¿ahora no puedo criticar porque soy inmigrante? Dios mío ¿por que hay gente así? ???? https://t.co/RAHMXDL7G1;0;0;0
20050;Immigration ? Invasion ? Entrada masiva de INMIGRANTES subsaharianos a CEUTA | España https://t.co/sUe4DoZLXB via @YouTub information passée sous silence par les médias belges #desinformation;0;0;0
20051;De esto que estás escribiendo y te preguntas lo callada que está la perra. Miras hacia atrás y te encuentras esto. https://t.co/LkdwUVHgaJ;0;0;0
20052;En ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos. Vienen de sus países con una mano delante y una atrás y consiguen préstamos gigantescos para sus negocios y para maltratar al venezolano. Acá en margarita se ve mucho esa vaina https://t.co/gHdYmtl68V;1;0;1
20053;Querida tú eres una puta sin llenadero.. que dicen tus hijos de tu nuevo amor? Sigues siendo su ejemplo ??????;1;1;1
20054;Guyana recibirá $30 mil de Unicef para atender a refugiados venezolanos -  https://t.co/QAT9EZivVW https://t.co/8JM5ezcITq;0;0;0
20055;Cómo cuando estás bien prietita y te dicen güera jajaja;0;0;0
20056;@DrodriguezVen tu eres la perra mas perra de las perras;1;1;1
20057;Inmigrantes intentan fugarse de Ceuta escondidos en un ferry https://t.co/PzsYXikVuh vía;0;0;0
20058;@Proctologo Maldito hijo de perra... no sé por que no se fue por una puta letrina en su pueblo y se ahogó en mierda, como lo merecia.;0;0;0
20059;@MirandaLanda22 Ya callate pinche puta y celebra la navidad hija de perra;1;1;1
20060;A ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades (y que los votantes no de lo hagan pagar dentro de un año)... https://t.co/CehRdJsSdU;1;0;0
20061;- El tiempo no existe. La división espacio-temporal es una invención del hombre, por lo tanto,.. - Cállate, hijo(a) de puta.;0;0;0
20062;@Laura99CM Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!;1;1;1
20064;Me mandan esta mierda. Cultura de la violación en sus mejores pantallas. ESCORIA. Se puede hacer algo @policia ? https://t.co/vGmcVPSO7B;0;0;0
20065;@gliclazida @dotfanny @el_pais Pero el escenario que describe no es de acoso. Es de violación y asesinos;0;0;0
20066;La Conferencia Sectorial de Inmigración y Emigración se reúne dentro de una hora por primera vez desde 2015. En lo que va de año, han llegado en patera a las costas de la región 145 ciudadanos argelinos.;0;0;0
20067;@PatricioMery @JorgeGlas Callate Ivan el Tonto, No hay pruebas !!! Donde estabas hijo de perra cuando gente como bucaram, Lasso , baqueros, y oportunistas se comieron al Ecuador y se repartian en pedazos, cuando no habia ni carreteras ni hospitales, ni me;0;0;0
20068;- Final Champions League - Libertadores y Sudaca - Tour, Giro y vuelta  - Wimbledon  - Super Bowl https://t.co/lUR7OjtsiV;0;0;0
20069;@chechechacon Tu eres una puta sentenciada y estas con concha en el congreso. Mentiste en tu cv y a las justas terminaste primaria. No te hagas la santa hipocrita de cuarta;1;1;1
20070;@NievesD36 @el_pais ¿Distingues entre una violación o entre un acoso laboral? o lo metes todo en el mismo pack?. Cuando te meten mano o te proponen en el trabajo no te ponen una navaja en el cuello. Tú eliges si es conveniente o no y de esa elección corre;0;0;0
20071;@PrincipeVaron @_Brix__ @Re152005 @Barbijaputa @Yiyefly Coño que callados estáis ??????????;0;0;0
20072;alguien me puede avisar donde consigo un teclado en arabe-;0;0;0
20073;Jajajajajajjajajajajajajjaa ay Dios la mujer es maldad me voy de aqui, que puta pavera.;1;0;1
20074;@agaxiolag cállate puta! Aprende a hablar y blanqueate el hocico. #ExatlonMx;1;1;1
20075;Mercedes y Vodafone se lían en la polémica del futbolista Özil sobre el racismo en Alemania: “Soy alemán cuando ganamos, pero un inmigrante cuando perdemos” https://t.co/imSYwzFHeB vía @eldiarioes;0;0;0
20076;Calmados no se amontonen!!!pinches nacos frijoleros pikense el culo ?????? https://t.co/tn7lEhUzsE;1;0;1
20077;@fedevigevani Cuando te conozca te pego un chicle en la cara a ver si te ves algún día bien;0;0;0
20078;@elchiringuitotv @As_TomasRoncero #ChiringuitoKepa tu eres gilipollas roncero!! Donde está vuestra puta factoría?;0;0;0
20079;Como me matas cuando te mueves así de lento, siento todo el recorrido y la presión de tu coño alrededor de mi polla, acaricias mi pecho, sientes mi respiración agitada, me voy a correr nena https://t.co/32P0qrpcPi;0;0;0
20080;La moronegrada está hundiendo el país a base d ser cobradores netos d pensiones, teroristas, robar, violar, traficar, petar el sistema penitenciario,educativo,judicial y sanitario...pero lo q importa es 1 negro q dice ser ingeniero  #NosTomanPorImbéciles  https://t.co/2pR0YPtNCA;1;0;1
20081;-¿Porque la esatua de la libertad es mujer? -Porque se nescesitaba una cabeza hueca para hacer un mirador;1;0;0
20082;Comemela XDDD y la cara también!! ?????????? — No nos pasemos ?? https://t.co/t3o5yHY0zb;1;1;1
20083;@pauliboggino @soyunaforra cállate perra de mierda culona;1;1;1
20084;Lo peor es que luego los lees y estos simios deformados insinúan que la mujer es malvada y una zorra muajajajaja en el fondo siento lastima por estos seres;0;0;0
20085;@_ArianaBelen Jajajaja vos cállate puta.;1;1;1
20086;@PatricioMery @Pontifex_es Callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos;0;0;0
20087;Eso, incompatible con ser moromierda, o musulmono. https://t.co/AMyOfhQVQy;1;0;1
20088;Este güero anotando para mi pick de +375. Viva Dinamarca carajo https://t.co/hHVyeWIGcO;0;0;0
20089;no entiendo eso de enseñarle la polla a cualquiera de verdad, no le encuentro el sentido;0;0;0
20090;Me obligan a tragar polla y me mean en la cara ?? https://t.co/8SHYnivgXa;0;0;0
20091;@DarkGraphics_YT @IstEkoGFX @kanouraa LO MAS SATURADO ES VER MI POLLA EN TU CULO AGUJEREADO??????;0;0;0
20092;@Valeria_Martell @NopaIep Si, estoy de acuerdo. A ningún hombre le pasaría por la cabeza que una mujer es puta por subir fotos semi desnuda. Libertad y respeto.;0;0;0
20093;@Zabayar Lo peor de todo es que tú eres parte de la culpa de la destrucción de Venezuela hijo de la grandísima PUTA, y encima sigues siendo chavista MALPARIDO. ahora no se valen arrepentimientos tienen 18 años llevando PALO y pasando roncha y es ahorita e;0;0;0
20094;Bronceado 2018 goals he ido al kebap y me han hablado en árabe.  ? misión cumplida;0;0;0
20095;la sacaron justo a l dia siguiente del documental,por cierto excelente ,destapa la cruda realidad del inmigrante y de los q quedamos en Vzla.Madurocdtm https://t.co/btnl4GmV1V;0;0;0
20096;Justificó la violencia a los diputados diciendo que ellos fueron a provocar, podes ser tan hijo de puta marcos peña?;0;0;0
20097;@ash_london CALLATE PERRA LOCA CON METERTE CON LOUIS YA ES MUCHO . TE METES CON BARDERAS;1;1;1
20098;Yo no te discuto como sacar una muela así que cállate la puta madre;0;0;0
20099;¿para que se inventó el alcohol? para que las feas, gordas y canis perdieran la virginidad.;1;0;0
20100;Hay mujers inteligentes, si. Son hombres que se han operado de cambio de sexo. Al revés no.;1;0;0
20102;y a los latinos nos dicen sudacas, conquistados, e incivilizados, ¿qué cosas, no? ?? (no todos) https://t.co/Ew6hpH5wIa;1;0;1
20103;Me voy a pintar el pelo güero para que Alfredo me quiera;0;0;0
20104;Los inmigrantes muestran su cara más violenta con peleas en plena calle — El Pueblo de Ceuta https://t.co/Xd26df3yhL;1;0;0
20105;Ayer me estaba muriendo de una perra infección en la garganta y hoy me la peló, ya estoy mejor. ??;0;0;0
20106;@fxbianna Y tu eres la amiga perra que me lo va mamar a espaldas de ella, estupida;1;1;1
