id,language,text,Task1
7,en,ExTeacher Pleads Not guilty To Rape Charges ,non-sexist
20,en,        Close the tunnels with gunpowder ,non-sexist
24,en,And why should he now buckle to their demands that he swear undying trust for these A   THEY are the enemy of this nation   ,non-sexist
58,en,Guatemalan mother separated from her yearold daughter waits ,non-sexist
64,en,Right on  ,non-sexist
72,en,Id say electrify the water but that would kill wildlife  ,sexist
80,en,What a way to damage LasVegas such stupidity MGM turns to nevertested law to sue Vegas shooting victims   ,non-sexist
82,en,Russia did it  Russia di  Wait what  Big scary Russia is helping people go home without being detained etc ,non-sexist
104,en,Continued amp Sustained damage  the Tories ,non-sexist
136,en,New   story by   on   in homes NHS schools unisampmore   Heres a film amp links to our research on this since      You can download our   book here  ,non-sexist
181,en,Passion Place amp Purpose  Sat  Sept   BOOK NOW  Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation ,non-sexist
184,en,If this is implemented well could be good news for Philadelphians ,non-sexist
204,en,Media silence on this too ,non-sexist
217,en,Two things to learn from this article   the people pushing wheelchairs in airports basically work for tips Don t neglect to show your appreciation   the Huntleigh USA corporation sucks  ,non-sexist
244,en,The DC  Should Dprinted guns be subject to background checks and  Is the gover  via   ,non-sexist
253,en,Republican AntiUnion Bill Goes Down in Flames in Missouri ,non-sexist
255,en,Sometimes living in this country right now feels like some kind of a fever dream Even with background context and without doomy music this story is still harrowing beyond belief  ,non-sexist
280,en,This was an act of warnot a homicide ,non-sexist
290,en,The last  lines are so true And WE should decide who gets to come here and who doesn t  ,non-sexist
297,en,  Its time we get Americans where they belong Until theres no hunger no Vets on the streets homeless no poor homeless no Mental cases left without help We dont need to import or allow anyone else into our country     ,sexist
300,en,No seriously It has  ,non-sexist
317,en,Chitown is a  ,non-sexist
342,en,To feel at home in a place you have to have some prospect of staying there Wendell Berry  ,non-sexist
352,en,  Battlefield Fortifications,non-sexist
356,en,DU last year you fought back against ABVP violence and snatched DUSU President and VP posts This year   No votes for thugs No votes for ABVP    ,non-sexist
384,en,Philippine bishops hit back after Duterte calls God stupid        ,non-sexist
509,en,  HE SUFFERS FROM MENTAL GLITCHESDEMENTIA,non-sexist
531,en,Wasnt this a Harpo Marx comedy routine ,non-sexist
566,en,Book sheds amazing new light on the profound relationship between man and beast  Daily Mail Online ,non-sexist
607,en,Wow   how far you have fallen    ,non-sexist
611,en,Young people taking care of business  ,non-sexist
639,en,Nuclear power takes a hit as European heatwave rolls on   RenewEconomy ,non-sexist
669,en,Sigh ,non-sexist
681,en,     ,non-sexist
685,en,I really want to do this DNA ancestry thing to finally understand what I am but i m tooo scared that these companies will use my DNA and clone me ,non-sexist
709,en,  Dear Murty please do not give players new contracts unto the end of the season as they are not worth it you broke your own rules still sign Hardie hes good,non-sexist
752,en,      If youre encouraging people to boycott papa Johns why not encourage people to boycott NY times for their racism as well,non-sexist
771,en,No drivers license no photo ID Philadelphia will issue municipal ID cards starting next year ,non-sexist
803,en,United Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation  ,non-sexist
807,en,    Pay to play is still in the Dsocialist rd world dumbsht partys dna Somebody in the senate and congress are working it Keep your eyes peeled Promises IF they become majority  just waiting to pour into the newest foundation ,sexist
