	text	Task1
7	ExTeacher Pleads Not guilty To Rape Charges 	non-sexist
20	        Close the tunnels with gunpowder 	non-sexist
24	And why should he now buckle to their demands that he swear undying trust for these A   THEY are the enemy of this nation   	non-sexist
58	Guatemalan mother separated from her yearold daughter waits 	non-sexist
64	Right on  	non-sexist
72	Id say electrify the water but that would kill wildlife  	sexist
80	What a way to damage LasVegas such stupidity MGM turns to nevertested law to sue Vegas shooting victims   	non-sexist
82	Russia did it  Russia di  Wait what  Big scary Russia is helping people go home without being detained etc 	non-sexist
104	Continued amp Sustained damage  the Tories 	non-sexist
136	New   story by   on   in homes NHS schools unisampmore   Heres a film amp links to our research on this since      You can download our   book here  	non-sexist
181	Passion Place amp Purpose  Sat  Sept   BOOK NOW  Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation 	non-sexist
184	If this is implemented well could be good news for Philadelphians 	non-sexist
204	Media silence on this too 	non-sexist
217	Two things to learn from this article   the people pushing wheelchairs in airports basically work for tips Don t neglect to show your appreciation   the Huntleigh USA corporation sucks  	non-sexist
244	The DC  Should Dprinted guns be subject to background checks and  Is the gover  via   	non-sexist
253	Republican AntiUnion Bill Goes Down in Flames in Missouri 	non-sexist
255	Sometimes living in this country right now feels like some kind of a fever dream Even with background context and without doomy music this story is still harrowing beyond belief  	non-sexist
280	This was an act of warnot a homicide 	non-sexist
290	The last  lines are so true And WE should decide who gets to come here and who doesn t  	non-sexist
297	  Its time we get Americans where they belong Until theres no hunger no Vets on the streets homeless no poor homeless no Mental cases left without help We dont need to import or allow anyone else into our country     	sexist
300	No seriously It has  	non-sexist
317	Chitown is a  	non-sexist
342	To feel at home in a place you have to have some prospect of staying there Wendell Berry  	non-sexist
352	  Battlefield Fortifications	non-sexist
356	DU last year you fought back against ABVP violence and snatched DUSU President and VP posts This year   No votes for thugs No votes for ABVP    	non-sexist
384	Philippine bishops hit back after Duterte calls God stupid        	non-sexist
509	  HE SUFFERS FROM MENTAL GLITCHESDEMENTIA	non-sexist
531	Wasnt this a Harpo Marx comedy routine 	non-sexist
566	Book sheds amazing new light on the profound relationship between man and beast  Daily Mail Online 	non-sexist
