id;text;HS;TR;AG
20001;Easyjet wants to double the number of female pilots' You will see to park the plane .. http://t.co/46NuLkm09x;1;0;0
20002;The government must create a strict immigration control in the border areas with Colombia because after 20-8 they will want to come en masse;1;0;0
20003;I see women destroyed by workplace and street harassment. Others with depression due to rape or physical abuse. And I met several who committed suicide because of this type of macho behavior. Are you going to keep up your poor show? https://t.co/JE6MEgvIh4;0;0;0
20004;- I am respectful with others, I only remind them what they are. And if they're scum, it's not my fault. ... - Of course I know it! Who do you take me for !?;0;0;0
20007;Antonio Caballero and how to be in bad taste and ignorant at the same time. Of course, sexual harassment and rape are not the same, but there are several behaviors that make up sexual violence.;0;0;0
20008;@ Zurine3 How much son of a bitch is left over in the world ...;0;0;0
20009;Pablo Casado should study a master's degree in immigration https://t.co/Pcz6GPJ6dG;0;0;0
20010;you do that to me I kick you in the face https://t.co/2drqUu5Rwc;0;0;0
20012;#Noticiasdelalinea: Motorcycle and undocumented Haitian national detained in Guatapanal https://t.co/qs9MTKddqK;0;0;0
20013;@MaivePerez Cry you deserve it for a bitch;1;1;1
20014;Undocumented parents went on a hunger strike to ask to be released https://t.co/ZPuBt8kUrK https://t.co/zRentrV0Kq;0;0;0
20015;I don't know why there are people who think that all immigrants are criminals;0;0;0
20016;To Tomi Alegre JAKSKKSJSJ - Shut up that tdv I'm in mourning bitch https://t.co/ilHP09OzCK;0;0;0
20017;@ mspn95 @SC_ESPN Shut up bitch chicken and sing it however you want !! Easy ass bag !! Hahahahah sonoo;1;1;1
20018;Meatballs! Almost in the style of fodongas but in Gabacho.;0;0;0
20020;All: - # NoTodosLosH Hombres -PPK, luxury president -Peru does not go to the 2017 World Cup: Ha, you deluded;0;0;0
20021;The judge summons the minor who denounced abuse by #Arandina players https://t.co/vD92Mxs04Q https://t.co/kbTiYIpwol;0;0;0
20022;VAMOOOO THE FUCKING MOTHER DESERVED SO MUCH EFFORT AND HAVING PASSED SO MANY PHONES WE NEEDED THIS REST;0;0;0
20023;Pd to see if they close the fucking time Tv3 that I still do not know what public service it offers so that it deserves money from our taxes or does it only hurt that they steal some?;0;0;0
20024;It was clear to me that this life as a machine-cast immigrant worker was going to be difficult. And it's true, it's difficult hahaha;0;0;0
20025;Look at you I'm up to my dick now, I can't take any more nonsense;0;0;0
20026;@ enkarny282 @irenejunquera You have no fucking idea, the melody is my girlfriend is a sevillista ... one more whore.;1;1;1
20027;@PepeGonzalezRP @EsmeSese Diappoler * hahaha shut up Pepe boy cock If they have filled me with notifications hahahahaha;0;0;0
20028;Prudish, moralistic? Net? For being against sexual harassment and rape at work?;0;0;0
20029;If anything is rape or harassment, rape and harassment are minimized. Therefore, they lose the victims of the shits that are dedicated to rape and / or harassment.;0;0;0
20030;How funny that you consider that a girl for being with someone with a girlfriend is a bitch ... if I remember correctly you had also gotten with one WITH a girlfriend, we should not do what we do not like to be done;0;0;0
20031;I hate old men who think they deserve everything, you son of a bitch, what you deserve is a grave.;0;0;0
20032;@elultimopeter You are too bitch ??;1;1;1
20034;@Manu_Sainz @elchiringuito The papapapartido imimporta ... shut up cake !!! Eat madeira's dick;0;0;0
20035;@Setxuki @ Daii__24 shut up the fucking big mouth almagro;0;0;0
