id	language	text	task1
1	es	hoy a la ma ana me quisieron levantar a un auto y como dije que no me gritaron feminazi son cualqqqquiera	1
2	es	funesmemoriosa Leaobutron Lo que pasa es que eres una feminazi bebefobica traumada por eso todo lo vez ofensivo	1
3	es	"Anoche a la salida del boliche dos chicos tiraron una caja y me cay  en la cabeza cuando les dije que eran unos imb ciles me respondieron con un  sal  de ac  feminazi hija de puta 
Se supone que la culpa fue m a por decirles imb ciles y no de ellos por SER IMB CILES o que"	1
4	es	tjcope y va la tonta y pregunta por la prensa a fregar O mejor a hacer porno	1
5	es	Que no me cuentes tu vida ni ata	0
6	es	cucumber Patrialtamira minutounocom Soy de Santa Fe Capital vivo en CABA  Eso cambia algo Una locura que afirmes que la mayor a piensa como una mujer que contesta no s  qu  se yo no es as	0
7	es	Me siento c mo una ni a chiquita cuando la van a recoger para llevarla al parque Jaja	0
8	es	MarkSyers PacoDelMazo No es ser mojigata no sea usted pendejo tengo un humor negro y  cido pero eso no implica que tenga la mentalidad estudiale tantito mami y conocer s todo lo que tuvo que pasar para que t  puedas salir muy fresca y natural a la calle y votar	0
9	es	Mucho feminismo pero cada vez que podes me tiras un comentario de mierda sobre m  cuerpo Tengo un espejo en m  casa los defectos me los veo todos los d as	0
10	es	hola hay mujeres a las que nos gusta el f tbol y estamos informadas sobre los equipos y jugadores es la mayor estupidez que he le do en mi vida mucho feminismo pero aqu  nos est  dejando como tontas que no tienen ni idea	0
11	es	mucho feminismo pero cuando te enteras de que a tu amiga le estan poniendo el cuerno prefieres no decirle porque no es  tu asunto	1
12	es	Mujer al volante apuro constante	1
13	es	Perdonen que suene machista pero no es por esa v a hoy comprob  que una mujer al volante te de un cami n de transporte p blico da mejor aspecto a la ruta que nosotros LosHombresToretom s mujeres al volante  del transporte	0
14	es	Me gust  un video de YouTube  MI MUJER AL VOLANTE en un CIRCUITO  Dani Clos	0
15	es	Vayanse a la mierda con su discurso de silvir lis dis vidis cuando despu s con su pa uelito celeste lleno de odio a las mujeres que luchan hacen estas cosas	0
16	es	culesrules Vaya voz de nenaza que te ha salido no fUFUUfUFUUfUFUUfUFUU	1
17	es	Herlinda Bueno no me dan pero voy a la cocina y como lo que haya Jajajaja Ly UUFEF	0
18	es	Pues el PRINacional parece que volver  a fregar al pa s	0
19	es	And the winner is la ni ata cotorra marisabidilla fUFUAUAEfUFUAUAE MasterChef	0
20	es	mujerlunabella Lunita no dejes que te metan el dedulse en tus dias off	0
21	es	"BlackWidowN Est s peor t  que yo Deber as tomar reposo

 De todos modos se dej  guiar por la adulta hasta el cama donde ambas se sentaron  

Peter y yo Bueno cort  con  l Ten a un comportamiento extra o y en fin empez  a llamarme zorra y dem s Me conoces y sabes que no me"	1
22	es	A tu novia se le trata como una princesa se le respeta como una dama se le consiente como una ni a y se le ama como una mujer	0
23	es	Siento q  sta democracia es como una mujer con wonderbraluce muy bien pero algo nos est n ocultando	1
24	es	La veo igual de psic pata que la loca del bebito  Ustedes no	0
25	es	"PM Gon Vamos al mismo gym juntos
  PM Cande Me re pinta eu
  PM Gon Salimos del gym y vamos a junior por un submarino o a betos por un lomito

C mo hago para ser chica fitness si me proponen cosas as"	0
26	es	No digas que alguien es mala influencia cada quien ver  que hace lo que importa es que esa persona se sienta bien t  por ahora deja de ser mojigata y act a como te de la gana	0
27	es	ElMundoEspana Mujer al volante	1
28	es	"SalvaGarca TecnocraciaFree ashia monedasdplata TowandaRebels naughtySalem kalindama LozanoMabel Campercampeador Ndemoniado LauraMJ PiLar Grenhu igualdadpsoem carmencalvo NuriaCSopena IsaMastro marinamarroqui feminicidio TFeminista ahorapodemos EsquerraERC iunida PSOE AlikaKinan ameliatiganus AmbarNoAbusos ColectivoCaye Seg n tus propias palabras las mujeres no deber an contratar prostituci n ya que no lo necesitan como un hombre
 Te informo adem s en que m s del  de la prostituci n masculina la consumen HOMBRES gays"	1
29	es	UnaBooom No creo no soy ninguna nenaza fUFUU	1
30	es	Tefa misiameiftowers Deja t  la jeta de una mi t a lagartona y elitista	0
31	es	Vivo con el miedo de cederle mi lugar en el cami n a una se ora y que sea feminazi Xkk me daz thu lugar k kreez k no puedo ir parada o khe serdo machizta	1
32	es	thecliniccl Irresponsable por mostrar una feminazi de Punta Arenas empleada de Boric la izq siempre se victimiza	1
