Unnamed: 0	text	task1
7	ExTeacher Pleads Not guilty To Rape Charges 	0
20	        Close the tunnels with gunpowder 	0
24	And why should he now buckle to their demands that he swear undying trust for these A   THEY are the enemy of this nation   	0
58	Guatemalan mother separated from her yearold daughter waits 	0
64	Right on  	0
72	Id say electrify the water but that would kill wildlife  	1
80	What a way to damage LasVegas such stupidity MGM turns to nevertested law to sue Vegas shooting victims   	0
82	Russia did it  Russia di  Wait what  Big scary Russia is helping people go home without being detained etc 	0
104	Continued amp Sustained damage  the Tories 	0
136	New   story by   on   in homes NHS schools unisampmore   Heres a film amp links to our research on this since      You can download our   book here  	0
181	Passion Place amp Purpose  Sat  Sept   BOOK NOW  Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation 	0
184	If this is implemented well could be good news for Philadelphians 	0
204	Media silence on this too 	0
217	Two things to learn from this article   the people pushing wheelchairs in airports basically work for tips Don t neglect to show your appreciation   the Huntleigh USA corporation sucks  	0
244	The DC  Should Dprinted guns be subject to background checks and  Is the gover  via   	0
253	Republican AntiUnion Bill Goes Down in Flames in Missouri 	0
255	Sometimes living in this country right now feels like some kind of a fever dream Even with background context and without doomy music this story is still harrowing beyond belief  	0
280	This was an act of warnot a homicide 	0
290	The last  lines are so true And WE should decide who gets to come here and who doesn t  	0
297	  Its time we get Americans where they belong Until theres no hunger no Vets on the streets homeless no poor homeless no Mental cases left without help We dont need to import or allow anyone else into our country     	1
300	No seriously It has  	0
317	Chitown is a  	0
342	To feel at home in a place you have to have some prospect of staying there Wendell Berry  	0
352	  Battlefield Fortifications	0
356	DU last year you fought back against ABVP violence and snatched DUSU President and VP posts This year   No votes for thugs No votes for ABVP    	0
384	Philippine bishops hit back after Duterte calls God stupid        	0
509	  HE SUFFERS FROM MENTAL GLITCHESDEMENTIA	0
531	Wasnt this a Harpo Marx comedy routine 	0
566	Book sheds amazing new light on the profound relationship between man and beast  Daily Mail Online 	0
607	Wow   how far you have fallen    	0
611	Young people taking care of business  	0
639	Nuclear power takes a hit as European heatwave rolls on   RenewEconomy 	0
669	Sigh 	0
681	     	0
685	I really want to do this DNA ancestry thing to finally understand what I am but i m tooo scared that these companies will use my DNA and clone me 	0
709	  Dear Murty please do not give players new contracts unto the end of the season as they are not worth it you broke your own rules still sign Hardie hes good	0
752	      If youre encouraging people to boycott papa Johns why not encourage people to boycott NY times for their racism as well	0
771	No drivers license no photo ID Philadelphia will issue municipal ID cards starting next year 	0
803	United Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation  	0
807	    Pay to play is still in the Dsocialist rd world dumbsht partys dna Somebody in the senate and congress are working it Keep your eyes peeled Promises IF they become majority  just waiting to pour into the newest foundation 	1
837	And much more recently   Still nothing shameful for Tom Watson here	0
838	Tech giants Facebook Apple YouTube ditch Alex Jones Banning him and his outlet is wrong It s not just a slippery slope it s a dangerous cliff that these social media companies are jumping off to satisfy CNN and other liberal outlets   is at risk 	0
841	  is a perfect Karmic slap on the faces of regionalists in India If you keep insisting on regional identity you ll end up getting Allah Hu Akbar Each time EVERY TIME	0
861	    Predictable carboncopy reviews written by leftist wankers amp lacking any kind of impartiality are also meaningless	0
867	There s this weird push for people to  take a leap  amp start a business no matter what Pls People have bills commitments families to worry about Most people don t have a safety net to fall back on Take the leap when you can Don t be rushed bc it s the in thing	0
885	Corbyn Ready To Take Over Task Of Negotiating Brexit 	0
894	    or not legal but a complaint beyond the school itself which just seems ridiculous in the st Century	0
896	  program should be fully restarted federal judge rules     	0
902	  Yeah me too lol	0
903	The BIGGEST SECRET Hidden in Plain SIGHT  The ROCKS were ALIVE  YouTube 	0
924	 The Art of Computer Programming  by Donald Knuth  by   	0
929	They are free to go back home  	1
993	 The companies that really want to have a global impact need to understand cultural differences  	0
1008	This video is more relevant than ever ABVP are goons with guns DU   No votes for thugs 	1
1015	China says cooperation with Iran justified reasonable and lawful 	0
1027	Beware of the feet you step on today They may be linked to the hand youll have to shake tomorrow  	0
1033	  littering on the increase  It would be nice to have some bins to put the litter in  and if there are any bins it would help to empty them frequently  	0
1064	This is a couple who just moved on in to Australia and thought if we behave ourselves and involve ourselves in the Community and have a child here then we will be allowed to staySorry  if that got you in we would be swamped with MILLIONS just like you 	1
1070	This is the place that haunts my dreams It fills me like darkness fills a room   More at   	0
1105	The Home Office left potentially hundreds of unaccompanied children in Calais with no viable legal avenues to join their families       So what happened Lost Trafficked Sold Where did they go 	0
1121	Stop your kids from using snap chat 	0
1132	Always pay attention to your surroundings it could save your life 	0
1143	    demand you     	0
1150	I posted  photos on Facebook in the album JAZBA PAKISTAN 	0
1157	Imagine that 	0
1173	  invites all UN countries to use its future space station    News      	0
1239	Each second citizien in Germany think Merkel should retire 	0
