	dataset	source	language	text	task1
0	MeTwo	Twitter	es	hoy a la mañana me quisieron levantar a un auto y como dije que no me gritaron feminazi, son cualqqqquiera	sexist
1	MeTwo	Twitter	es	@funesmemoriosa @Leaobutron Lo que pasa es que eres una feminazi, bebefobica traumada por eso todo lo vez ofensivo	sexist
2	MeTwo	Twitter	es	"Anoche a la salida del boliche dos chicos tiraron una caja y me cayó en la cabeza, cuando les dije que eran unos imbéciles, me respondieron con un “salí de acá, feminazi hija de puta”.
Se supone que la culpa fue mía por decirles imbéciles y no de ellos por SER IMBÉCILES o que"	sexist
3	MeTwo	Twitter	es	@tjcope y va la tonta y pregunta por la prensa, a fregar!!! O mejor a hacer porno	sexist
4	MeTwo	Twitter	es	Que no me cuentes tu vida, niñata. https://t.co/IFClAASLFv	non-sexist
5	MeTwo	Twitter	es	"@cucumber_1987 @Patri_altamira @minutounocom Soy de Santa Fe Capital, vivo en CABA... ¿Eso cambia algo? Una locura que afirmes que la mayoría piensa como una mujer que contesta ""no sé, qué se yo"", no es así..."	non-sexist
6	MeTwo	Twitter	es	Me siento cómo una niña chiquita, cuando la van a recoger para llevarla al parque. Jaja:(	non-sexist
7	MeTwo	Twitter	es	@MarkSyers @PacoDelMazo No es ser mojigata, no sea usted pendejo, tengo un humor negro y ácido, pero eso no implica que tenga la mentalidad, estudiale tantito mami y conocerás todo lo que tuvo que pasar para que tú puedas salir muy fresca y natural a la calle y votar	non-sexist
8	MeTwo	Twitter	es	Mucho feminismo pero cada vez que podes me tiras un comentario de mierda sobre mí cuerpo. Tengo un espejo en mí casa, los defectos me los veo todos los días.	non-sexist
9	MeTwo	Twitter	es	hola? hay mujeres a las que nos gusta el fútbol y estamos informadas sobre los equipos y jugadores, es la mayor estupidez que he leído en mi vida, mucho feminismo pero aquí nos está dejando como tontas que no tienen ni idea https://t.co/MiBIlTRT2B	non-sexist
10	MeTwo	Twitter	es	mucho feminismo pero cuando te enteras de que a tu amiga le estan poniendo el cuerno prefieres no decirle porque no es “tu asunto”	sexist
11	MeTwo	Twitter	es	Mujer al volante apuro constante. https://t.co/6mp8tGwFih	sexist
12	MeTwo	Twitter	es	Perdonen que suene machista, pero no es por esa vía, hoy comprobé que una mujer al volante te de un camión de transporte público da mejor aspecto a la ruta que nosotros #LosHombresToreto....más mujeres al volante  del transporte...	non-sexist
